occurrence_shops,occurrence_amenities,distribution_shop,distribution_amenities,proximity_shops,proximity_amenities,proximity_transport,correlation_shops_amenities
0,3,NA,-0.921395894227654,NA,261.936821122634,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,10,NA,NA,NA,370.63966738845,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,14,NA,-0.909587163231323,NA,427.977816364642,NA,0
24,200,NA,-0.0463371726117602,438.860371118486,364.796397583373,NA,0.12
0,25,NA,NA,NA,301.231827448395,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,2,NA,NA,NA,442.258350979945,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,1,NA,NA,NA,488.957067042405,NA,0
0,0,NA,NA,NA,NA,NA,NA
19,44,-0.0455556466669781,-0.0925901389061418,403.974073805146,420.754354303113,NA,0.431818181818182
0,0,NA,NA,NA,NA,NA,NA
42,247,-0.0164514095453948,-0.103505398465158,324.857512010504,329.233997053654,NA,0.17004048582996
0,31,NA,-0.0820981243625324,NA,242.348010933711,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,1,NA,NA,NA,553.796130424661,NA,0
2,64,NA,-0.0941729715852999,319.284313895458,394.304202616462,NA,0.03125
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,20,NA,NA,NA,42.0240392814973,NA,0
1,0,NA,NA,190.677423766271,NA,NA,Inf
0,4,NA,-0.158981834501579,NA,394.751966637475,NA,0
1,1,NA,NA,272.343794616538,335.642707989032,NA,1
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
6,53,NA,-0.0261667681640424,302.649866425974,311.621530359354,NA,0.113207547169811
2,65,NA,-0.1379055376305,104.13785610248,168.211296984117,NA,0.0307692307692308
0,6,NA,NA,NA,515.659819722564,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,19,NA,-0.0814725651413158,NA,148.883368901508,NA,0
0,0,NA,NA,NA,NA,NA,NA
2,33,NA,-0.107725389607241,359.483098867246,274.675440966137,NA,0.0606060606060606
0,0,NA,NA,NA,NA,NA,NA
0,9,NA,-0.872412368246821,NA,495.775809210372,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,8,NA,NA,NA,278.987732899315,NA,0
0,61,NA,-0.243208601754469,NA,405.288771384703,NA,0
13,113,-0.38963353827911,-0.239195921526418,469.334365238103,385.641686537824,NA,0.115044247787611
0,23,NA,-0.282907657661696,NA,421.161731582633,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,20,NA,-0.0690690605703597,NA,462.856141853766,NA,0
0,26,NA,-0.291743728046302,NA,506.666080077153,NA,0
0,22,NA,-0.128516139818875,NA,133.452352375745,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,20,NA,-0.177723620741514,NA,137.829970930623,NA,0
0,2,NA,NA,NA,399.662495188592,NA,0
0,8,NA,NA,NA,329.529998172742,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,54,NA,-0.159454330536326,NA,179.462183042625,NA,0
0,1,NA,NA,NA,495.609927944418,NA,0
0,274,NA,-0.0537852323921101,NA,300.646710502547,NA,0
8,37,-0.386917119314942,-0.230650931348582,377.264942107648,385.304944607151,NA,0.216216216216216
21,17,NA,NA,78.2059759554397,458.119180328768,NA,1.23529411764706
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,49,NA,-0.176196712106446,NA,365.861713539823,NA,0
0,29,NA,-0.633551994554244,NA,332.392859365265,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,35,NA,-0.0930511107287162,NA,426.346520780757,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,13,NA,NA,NA,135.259376607227,NA,0
27,48,-0.470642507854095,-0.0723623824442978,254.969708846194,332.885226866519,NA,0.5625
8,24,NA,-0.326906812689891,460.825215716946,287.468502878279,NA,0.333333333333333
24,73,-0.331150294083097,-0.0682619888164335,171.215704859769,285.02027619487,NA,0.328767123287671
0,23,NA,-0.683060332423398,NA,350.63487783412,NA,0
5,60,-0.340026590155408,-0.333015761840349,186.844912593669,298.473952828358,NA,0.0833333333333333
0,22,NA,-0.393645839826195,NA,365.332194677991,NA,0
0,4,NA,NA,NA,333.949527373386,NA,0
22,58,-0.0827140042859465,-0.24886249191135,140.768767181368,332.794801382403,NA,0.379310344827586
0,1,NA,NA,NA,247.315252550535,NA,0
0,5,NA,NA,NA,517.306457469938,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,22,NA,-0.614263605628866,NA,375.144414125264,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,6,NA,NA,NA,407.304154673869,NA,0
0,17,NA,NA,NA,374.22663076157,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,8,NA,NA,NA,439.764704112643,NA,0
28,193,-0.314542003673189,-0.0633748330980881,466.203966411783,342.840389659639,NA,0.145077720207254
0,0,NA,NA,NA,NA,NA,NA
1,53,NA,-0.0412975665781996,335.57275660287,352.393049799187,NA,0.0188679245283019
2,61,NA,-0.108821858925822,483.700041924663,195.028693294654,NA,0.0327868852459016
0,0,NA,NA,NA,NA,NA,NA
