occurrence_shops_500m,occurrence_amenities_500m,occurrence_shops,occurrence_amenities,occurrence_junctions_5000m,occurrence_highways_5000m,distribution_shop,distribution_amenities,distribution_shop_500ms,distribution_amenities_500m,proximity_shops_500m,proximity_amenities_500m,proximity_shops,proximity_amenities,proximity_transport_500m,proximity_junction_5km,proximity_highway_5km,correlation_shops_amenities
1374,1571,149,18,0,177,-0.0490595493816374,-0.290842128490725,-0.00991170722701266,-0.0112508794426776,303.534056062154,407.084879557256,100.214629940765,117.20460818394,537.131960275393,NA,3102.75499384351,8.27777777777778
11,71,10,0,4,7,NA,NA,-0.514793508257907,-0.0596709665889899,56.4203571503702,423.733295998448,28.2206604333758,NA,NA,3397.73460356196,4023.15319393548,NA
36,189,7,2,19,416,-0.235596933355266,NA,-0.118193713615586,-0.0683563890806786,325.729217690863,314.237126000319,14.765530971677,19.0695890536745,238.168503793758,2391.17639388835,3431.95223882335,3.5
1958,1450,39,0,0,576,-0.0269437549182343,NA,-0.0446499301473474,-0.0103520270826015,334.931943980221,371.183851763905,51.5167815617557,NA,NA,NA,3168.5050556974,NA
134,318,15,6,14,137,-0.155744804804383,-0.407479432298123,-0.0791372096167343,-0.0171297162678496,166.876751560038,301.808483148692,14.705943047505,16.5328247486171,NA,2523.78740575018,2865.33041063104,2.5
113,298,16,0,8,152,NA,NA,-0.032477741397162,-0.0366714753879658,146.18551436123,241.699692542852,26.1301842665677,NA,495.997495005994,3893.68079584957,3906.16747180845,NA
901,1678,36,5,12,610,-0.129482183937415,-0.258178293534778,-0.0282809000234245,-0.00915682656000926,350.786995493448,382.783187892471,43.1701783543638,36.9285525360377,71.8782284038399,4433.5612458211,2957.72419228357,7.2
11,24,11,5,15,126,-0.0461844932496668,NA,-0.0461844932496668,-0.261013327819373,40.1147370350145,141.312804365575,40.1147370350145,47.8647672364009,NA,3066.69733232264,3411.54854275897,2.2
275,353,69,41,1,73,-0.0434543324831769,-0.132719169729261,-0.0450291507447466,-0.0349244895287664,338.617369585544,389.395809968823,117.418331967176,88.4582841110127,NA,4880.91502997526,3966.50533986643,1.68292682926829
179,468,84,9,14,547,-0.0334131252906303,-0.117534684491888,-0.228955949242077,-0.060295570373378,186.721306384992,286.65012242426,69.432162350416,65.0114308033398,323.765134236002,4082.54553118956,3374.87459137512,9.33333333333333
511,640,51,84,13,86,-0.0933162821584585,-0.071190424719007,-0.00715334747359017,-0.00903623778271574,188.546522034412,221.325509297801,73.5742760286246,51.8404897803123,279.726095017863,2367.08575544308,3141.14234138812,0.607142857142857
301,779,76,11,9,494,-0.0814059342909767,-0.327049345595507,-0.0555835275379588,-0.00832155260952716,206.22874765838,303.420440198124,78.9263926866623,108.540691409194,179.294554981405,4162.52351958199,3256.82493720206,6.90909090909091
417,540,38,6,0,508,-0.0636663380226716,-0.329908248879034,-0.00760471157932265,-0.0311166472474942,201.19528817929,307.971712224181,29.7041047846392,23.5841613168478,NA,NA,3609.79324664135,6.33333333333333
254,342,5,5,0,136,NA,NA,-0.00890232183637412,-0.0120405713213655,169.557655140152,152.827041862522,5.83230408770652,6.59578037694495,NA,NA,2918.23838420015,1
382,518,8,7,7,183,-0.0536275316630629,NA,-0.0115866295789431,-0.0488368449018138,296.555600272637,287.482336963296,12.9211766183176,11.9641918642105,NA,3478.41368775341,3418.37494706202,1.14285714285714
